Penetration,UCS,BTS,Thrust,Torque,CL,Alpha,FS,B1,B2,B3,B4,B5,Bi,SE,TqDTh
4.064,136.1714563,9.170027182,17064.70808,1464.763339,284.4118013,32,0.4,14.84962406,0.873814042,72.67074173,624.3479778,24.98695615,3.816278421,57848.90527,0.085835827
4.064,136.9988272,9.204500969,12355.73173,1251.883652,205.9288621,21,1.6,14.88389513,0.8740863,73.10166406,630.5029186,25.10981718,3.822779291,49441.50148,0.101320074
5.08,137.4125126,9.225185241,16976.66443,1637.841634,282.9444071,46,0.8,14.89536622,0.874177168,73.31884892,633.8279415,25.17593973,3.826091263,51747.52428,0.096476056
3.556,139.2740971,9.183816697,18108.10518,1245.149304,301.8017529,41,2,15.16516517,0.876277169,74.22895688,639.533889,25.28900728,3.838121761,56200.61401,0.068761988
4.064,139.4119922,9.170027182,18030.26575,1314.362454,300.5044291,40,2,15.20300752,0.876566125,74.29100969,639.205879,25.28252122,3.838783014,51909.01977,0.072897564
3.81,140.9977864,9.142448153,17820.42534,1260.189392,297.007089,10,1.6,15.42232278,0.878214548,75.07011726,644.5324758,25.38764416,3.849073453,53087.49419,0.070716011
4.318,140.6530485,9.142448153,17017.48576,1484.627427,283.6247626,28,1.6,15.38461538,0.877934272,74.89774833,642.9566018,25.35658892,3.846718558,55184.38718,0.087241291
4.572,139.6188349,9.170027182,17502.97801,1564.622042,291.7163001,36,1.6,15.22556391,0.87673772,74.39443105,640.1542557,25.30126984,3.840206104,54926.83882,0.089391762
4.826,138.8604116,9.204500969,14034.54394,1416.67112,233.9090656,47,0.8,15.08614232,0.875669383,74.03245629,639.0703966,25.27984171,3.835699929,47115.4242,0.100941728
3.556,136.4472466,9.294132813,15785.59971,1161.491269,263.0933286,14,1.6,14.6810089,0.872457186,72.87068969,634.0794158,25.18093358,3.820776534,52424.65486,0.073579166
4.318,134.1719767,9.363080386,17026.79588,1427.413266,283.7799314,41,2,14.32989691,0.869535978,71.76752853,628.1315016,25.06255178,3.806154315,53057.70652,0.083833346
4.318,131.3451262,9.618186406,16164.11223,1502.465924,269.4018706,44,2,13.65591398,0.863536317,70.48165629,631.6509536,25.13266706,3.791038108,55847.45354,0.092950723
3.302,129.9661747,9.756081551,17382.40006,1226.754922,289.7066677,15,1.6,13.32155477,0.860350358,69.86112814,633.9802998,25.17896542,3.783740602,59629.63112,0.070574542
3.556,128.5872233,9.880187182,18028.30408,1097.024838,300.4717347,10,1.6,13.01465457,0.857292237,69.23370523,635.2329176,25.20382744,3.776049799,49514.92104,0.060850141
3.81,129.9661747,9.914660969,17581.15105,1355.466787,293.0191842,15,1.6,13.10848401,0.858241325,69.94041785,644.2852799,25.38277526,3.786792232,57101.20685,0.077097727
3.556,131.0003883,9.928450483,13336.94714,848.5210344,222.2824523,2,0.4,13.19444444,0.859099804,70.4644194,650.3154344,25.50128299,3.794566947,38298.54217,0.063621834
3.556,131.0003883,9.928450483,13336.94714,848.5210344,222.2824523,11,0.4,13.19444444,0.859099804,70.4644194,650.3154344,25.50128299,3.794566947,38298.54217,0.063621834
4.826,128.9319611,10.03187184,15135.12737,1422.446905,252.2521229,35,0.4,12.85223368,0.855618953,69.48191649,646.7144553,25.4305811,3.781457693,47307.51433,0.093983147
2.54,129.9661747,10.2318198,16875.50742,998.6778717,281.258457,39,0.8,12.70215633,0.854037573,70.09899727,664.8952402,25.78556263,3.792758832,63106.35453,0.059179131
3.81,130.1040699,10.25939883,17734.32556,1227.308096,295.5720927,2,0.8,12.68145161,0.853816681,70.18173435,667.3947713,25.83398481,3.794275104,51702.31696,0.069205231
4.318,130.1730174,10.28697786,17033.37035,1664.140435,283.8895059,26,0.8,12.6541555,0.853524445,70.22999765,669.5434743,25.87553815,3.795287091,61856.98067,0.097698835
4.826,138.5846213,10.06634563,16643.40366,1473.516499,277.3900611,32,0.4,13.76712329,0.864564007,74.32548348,697.5203486,26.41061053,3.850989653,49005.97883,0.088534565
4.318,138.7225165,10.04566136,16657.52232,1522.355773,277.625372,58,0.8,13.80919698,0.864948788,74.38408892,696.7797115,26.39658522,3.851551119,56586.76976,0.091391489
3.556,138.7225165,10.03187184,14561.85837,955.1710297,242.6976394,55,0.4,13.82817869,0.865121669,74.37719416,695.8232535,26.37846192,3.851286598,43112.25825,0.065594034
4.064,138.6535689,10.03187184,17815.3855,1647.935699,296.9230917,8,0.8,13.82130584,0.865059124,74.34272037,695.4774169,26.37190583,3.850807969,65083.05718,0.092500704
4.826,138.5156738,10.01808233,16934.5798,1646.498532,282.2429967,17,0.2,13.82656573,0.865106995,74.26687804,693.8307117,26.3406665,3.849585409,54758.98792,0.097227008
4.318,137.4125126,10.12150369,16428.04746,1566.300545,273.800791,50,1.6,13.57629428,0.862790915,73.76700814,695.4106264,26.37063948,3.843871157,58220.22016,0.095343074
3.81,137.2056699,10.15597747,17809.34037,1232.121249,296.8223395,69,0.8,13.50984386,0.862162542,73.68082367,696.7288462,26.39562172,3.843077133,51905.07876,0.069183991
3.81,136.1714563,10.23871456,18483.40163,1351.95793,308.0566939,67,0.4,13.2996633,0.860136567,73.20508542,697.1103361,26.40284712,3.837371028,56953.39065,0.073144433
2.54,135.1372427,10.34213592,18752.60355,1309.619803,312.5433926,45,1.6,13.06666667,0.857819905,72.7396893,698.8038659,26.43489864,3.831989191,82754.74398,0.069836692
4.318,134.7925048,10.37660971,15843.09743,1322.85123,264.0516238,7,0.4,12.99003322,0.857041083,72.58455727,699.344607,26.44512445,3.830180228,49171.08032,0.083497008
3.556,134.1030291,10.44555728,13384.41411,1063.896782,223.0735685,76,1.6,12.83828383,0.855473408,72.27429319,700.3904359,26.46489063,3.826539737,48019.66496,0.079487737
4.318,133.2756582,10.52829437,16792.16999,1410.946857,279.8694998,47,0.8,12.65880812,0.85357434,71.90197629,701.5826808,26.48740608,3.822131369,52445.64139,0.084024093
3.302,133.3790796,10.51450485,17759.52474,1222.389188,295.992079,18,1.6,12.6852459,0.853857211,71.94679222,701.2074897,26.48032269,3.822622135,59417.42321,0.068830062
4.064,134.1030291,10.46624155,18267.80078,1661.545399,304.4633463,19,0.8,12.81291173,0.855207936,72.28463532,701.7773476,26.49108053,3.826918247,65620.55443,0.090954867
4.826,134.2409242,10.45245204,16380.02446,1626.780871,273.0004077,30,0.4,12.84300792,0.855522729,72.34668814,701.573411,26.48723109,3.827649326,54103.22109,0.099314923
